# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (+ 239153.311802) (KCal/Mol)
#                  X                   Y
        0.0000000000        0.8279492120
       10.0000000000        0.1588785028
       20.0000000000        0.0000000000
       30.0000000000        0.1108150402
       40.0000000000        0.5222742743
       50.0000000000        1.1866813329
       60.0000000000        1.9840884025
       70.0000000000        2.7462112405
       80.0000000000        3.2911982212
       90.0000000000        3.4850653987
      100.0000000000        3.2894518622
      110.0000000000        2.7865971244
      120.0000000000        2.1363253448
      130.0000000000        1.5096755328
      140.0000000000        0.5575553685
      150.0000000000        0.1286300349
      160.0000000000       -0.0015938741
      170.0000000000        0.1487065738
      180.0000000000        0.4726840811
      190.0000000000        0.7488372068
      200.0000000000       -0.0014752748
      210.0000000000        0.1286494877
      220.0000000000        0.5575409358
      230.0000000000        1.2268281357
      240.0000000000        2.0150346610
      250.0000000000        2.7621317840
      260.0000000000        3.2967014795
      270.0000000000        3.4849041287
      280.0000000000        3.2786787791
      290.0000000000        2.7554055097
      300.0000000000        2.0842640191
      310.0000000000        1.4520456879
      320.0000000000        0.5222014832
      330.0000000000        0.1107259338
      340.0000000000       -0.0000056476
      350.0000000000        0.1589293311
      360.0000000000        0.4768043085
