# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (+ 239134.921639) (KCal/Mol)
#                  X                   Y
        0.0000000000        1.6310110927
       10.0000000000        0.0877104633
       20.0000000000       -0.0000003046
       30.0000000000        0.2871511802
       40.0000000000        0.9344711551
       50.0000000000        1.8646303695
       60.0000000000        2.9336925768
       70.0000000000        3.9400615649
       80.0000000000        4.6552178268
       90.0000000000        4.8971340342
      100.0000000000        4.6321913657
      110.0000000000        3.9956275311
      120.0000000000        3.1911967477
      130.0000000000        2.4106703111
      140.0000000000        1.8041277860
      150.0000000000        1.4663218519
      160.0000000000        1.3852469970
      170.0000000000        1.0591754905
      180.0000000000        0.4663434205
      190.0000000000        0.0677688389
      200.0000000000        0.0105619354
      210.0000000000        0.3334312608
      220.0000000000        1.0029437367
      230.0000000000        1.9308106589
      240.0000000000        2.9747122453
      250.0000000000        3.9506125097
      260.0000000000        4.6515343460
      270.0000000000        4.8973109919
      280.0000000000        4.6225252094
      290.0000000000        3.9453238596
      300.0000000000        3.0964007700
      310.0000000000        2.3029595604
      320.0000000000        1.7259840280
      330.0000000000        1.4385865596
      340.0000000000        1.3799043811
      350.0000000000        1.0577654767
      360.0000000000        0.4935942756
